station,date,tmpf,dwpf,relh,drct,sknt,alti,p01i,vsby,skyc1,metar
JFK,1/1/2019 00:00,0,0,0,0,18,30.13,0.03,4,SCT,KJFK 010000Z AUTO ///18KT 4SM RA BR SCT008 BKN019 OVC033 07/07 A3012 RMK P0002 T00700070 MADISHF
JFK,1/1/2019 00:05,0,0,0,130,13,30.14,0.04,4,SCT,KJFK 010005Z AUTO 13013KT 4SM RA BR SCT008 BKN013 OVC018 07/07 A3013 RMK P0003 T00700070 CIG 007 W  MADISHF
JFK,1/1/2019 00:07,44.1,44.1,100,130,14,30.14,0.04,4,FEW,KJFK 010007Z 13014G23KT 4SM RA BR FEW006 BKN011 OVC018 07/07 A3014 RMK AO2 P0004 T00670067
JFK,1/1/2019 00:10,0,0,0,130,11,30.13,0.04,4,BKN,KJFK 010010Z AUTO 13011KT 4SM -RA BR BKN008 OVC016 07/07 A3012 RMK P0003 T00700070 MADISHF
JFK,1/1/2019 00:14,44.1,44.1,100,130,12,30.13,0.05,3,BKN,KJFK 010014Z 13012KT 3SM RA BR BKN008 OVC016 07/07 A3013 RMK AO2 SFC VIS 4 P0005 T00670067
JFK,1/1/2019 00:15,0,0,0,130,14,30.13,0.05,4,BKN,KJFK 010015Z AUTO 13014KT 4SM RA BR BKN008 OVC016 07/07 A3012 RMK P0005 T00700070 MADISHF
JFK,1/1/2019 00:20,0,0,0,130,14,30.13,0.06,4,BKN,KJFK 010020Z AUTO 13014KT 4SM RA BR BKN008 BKN012 OVC016 07/07 A3012 RMK P0005 T00700070 MADISHF
JFK,1/1/2019 00:25,0,0,0,130,13,30.12,0.07,4,BKN,KJFK 010025Z AUTO 13013KT 4SM RA BR BKN008 BKN012 OVC016 07/07 A3012 RMK P0007 T00700070 MADISHF
JFK,1/1/2019 00:30,0,0,0,130,16,30.12,0.09,4,BKN,KJFK 010030Z AUTO 13016KT 4SM +RA BR BKN008 BKN012 OVC016 07/07 A3012 RMK P0009 T00700070 MADISHF
JFK,1/1/2019 00:35,0,0,0,130,14,30.12,0.11,4,BKN,KJFK 010035Z AUTO 13014KT 4SM RA BR BKN008 BKN012 OVC016 07/07 A3012 RMK P0010 T00700070 MADISHF
JFK,1/1/2019 00:40,0,0,0,130,15,30.11,0.13,4,BKN,KJFK 010040Z AUTO 13015KT 4SM +RA BR BKN008 BKN012 OVC016 07/07 A3011 RMK P0012 T00700070 MADISHF
JFK,1/1/2019 00:45,0,0,0,130,14,30.1,0.16,4,BKN,KJFK 010045Z AUTO 13014KT 4SM +RA BR BKN008 BKN012 OVC016 07/07 A3010 RMK P0015 T00700070 MADISHF
JFK,1/1/2019 00:50,0,0,0,120,15,30.09,0.19,4,BKN,KJFK 010050Z AUTO 12015KT 4SM +RA BR BKN004 BKN011 OVC030 07/07 A3009 RMK P0018 T00700070 MADISHF
JFK,1/1/2019 00:51,44.1,44.1,100,120,16,30.09,0.2,3,BKN,KJFK 010051Z 12016KT 3SM +RA BR BKN005 BKN016 OVC030 07/07 A3009 RMK AO2 SFC VIS 4 PRESFR SLP189 P0020 T00670067
JFK,1/1/2019 00:55,0,0,0,120,13,30.09,0.02,3,BKN,KJFK 010055Z AUTO 12013KT 3SM +RA BR BKN004 BKN016 OVC030 07/07 A3009 RMK P0001 T00700070 MADISHF
JFK,1/1/2019 01:00,0,0,0,120,15,30.08,0.03,3,BKN,KJFK 010100Z AUTO 12015KT 3SM RA BR BKN004 BKN018 OVC030 07/07 A3007 RMK P0002 T00700070 MADISHF
JFK,1/1/2019 01:05,0,0,0,120,14,30.07,0.04,3,BKN,KJFK 010105Z AUTO 12014KT 3SM -RA BR BKN004 BKN018 OVC029 07/07 A3006 RMK P0003 T00700070 MADISHF
JFK,1/1/2019 01:10,0,0,0,120,15,30.07,0.04,5,BKN,KJFK 010110Z AUTO 12015KT 5SM -RA BR BKN004 BKN022 OVC027 07/07 A3006 RMK P0003 T00700070 MADISHF
JFK,1/1/2019 01:15,0,0,0,120,16,30.06,0.05,5,BKN,KJFK 010115Z AUTO 12016KT 5SM -RA BR BKN004 OVC022 07/07 A3005 RMK P0005 T00700070 MADISHF
JFK,1/1/2019 01:20,0,0,0,120,18,30.05,0.05,4,BKN,KJFK 010120Z AUTO 12018KT 4SM -RA BR BKN004 BKN016 OVC023 07/07 A3004 RMK P0005 T00700070 MADISHF
JFK,1/1/2019 01:25,0,0,0,120,16,30.06,0.05,3,BKN,KJFK 010125Z AUTO 12016KT 3SM -RA BR BKN004 BKN014 OVC025 07/07 A3005 RMK P0005 T00700070 MADISHF
JFK,1/1/2019 01:30,0,0,0,120,16,30.05,0.07,3,BKN,KJFK 010130Z AUTO 12016KT 3SM RA BR BKN004 OVC022 07/07 A3004 RMK P0007 T00700070 MADISHF
