station,date,tmpf,dwpf,relh,drct,sknt,alti,p01i,vsby,skyc1,time,ORIGIN,DEST,CRS_ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,ON_TIME,"Targets(0=ontime,1=diverted,2=cancelled,3=delayed)"
JFK,1/1/2019 00:00,0,0,0,0,18,30.13,0.03,4,SCT,1/1/2019 00:06,SFO,JFK,6,0,0,0,1,0
JFK,1/1/2019 00:05,0,0,0,130,13,30.14,0.04,4,SCT,1/1/2019 00:06,MSP,JFK,6,0,0,0,1,0
JFK,1/1/2019 00:07,44.1,44.1,100,130,14,30.14,0.04,4,FEW,1/1/2019 00:30,MIA,JFK,30,0,0,0,1,0
JFK,1/1/2019 00:10,0,0,0,130,11,30.13,0.04,4,BKN,1/1/2019 00:37,LAS,JFK,37,0,0,0,1,0
JFK,1/1/2019 00:14,44.1,44.1,100,130,12,30.13,0.05,3,BKN,1/1/2019 01:00,LAX,JFK,100,0,0,0,1,0
JFK,1/1/2019 00:15,0,0,0,130,14,30.13,0.05,4,BKN,1/1/2019 02:54,SJU,JFK,254,1,0,0,0,3
JFK,1/1/2019 00:20,0,0,0,130,14,30.13,0.06,4,BKN,1/1/2019 04:49,LGB,JFK,449,0,0,0,1,0
JFK,1/1/2019 00:25,0,0,0,130,13,30.12,0.07,4,BKN,1/1/2019 05:09,PHX,JFK,509,0,0,0,1,0
JFK,1/1/2019 00:30,0,0,0,130,16,30.12,0.09,4,BKN,1/1/2019 05:14,SAN,JFK,514,0,0,0,1,0
JFK,1/1/2019 00:35,0,0,0,130,14,30.12,0.11,4,BKN,1/1/2019 05:21,SFO,JFK,521,0,0,0,1,0
JFK,1/1/2019 00:40,0,0,0,130,15,30.11,0.13,4,BKN,1/1/2019 05:25,PHX,JFK,525,0,0,0,1,0
JFK,1/1/2019 00:45,0,0,0,130,14,30.1,0.16,4,BKN,1/1/2019 05:25,LAX,JFK,525,0,0,0,1,0
JFK,1/1/2019 00:50,0,0,0,120,15,30.09,0.19,4,BKN,1/1/2019 05:25,LAX,JFK,525,0,0,0,1,0
JFK,1/1/2019 00:51,44.1,44.1,100,120,16,30.09,0.2,3,BKN,1/1/2019 05:27,PDX,JFK,527,0,0,0,1,0
JFK,1/1/2019 00:55,0,0,0,120,13,30.09,0.02,3,BKN,1/1/2019 05:35,DEN,JFK,535,0,0,0,1,0
JFK,1/1/2019 01:00,0,0,0,120,15,30.08,0.03,3,BKN,1/1/2019 05:37,DEN,JFK,537,0,0,0,1,0
JFK,1/1/2019 01:05,0,0,0,120,14,30.07,0.04,3,BKN,1/1/2019 05:53,ABQ,JFK,553,1,0,0,0,3
JFK,1/1/2019 01:10,0,0,0,120,15,30.07,0.04,5,BKN,1/1/2019 05:55,SAN,JFK,555,0,0,0,1,0
JFK,1/1/2019 01:15,0,0,0,120,16,30.06,0.05,5,BKN,1/1/2019 05:56,SLC,JFK,556,0,0,0,1,0
JFK,1/1/2019 01:20,0,0,0,120,18,30.05,0.05,4,BKN,1/1/2019 05:57,SFO,JFK,557,0,0,0,1,0
JFK,1/1/2019 01:25,0,0,0,120,16,30.06,0.05,3,BKN,1/1/2019 05:58,PDX,JFK,558,0,0,0,1,0
JFK,1/1/2019 01:30,0,0,0,120,16,30.05,0.07,3,BKN,1/1/2019 06:04,SEA,JFK,604,0,0,0,1,0
JFK,1/1/2019 01:35,0,0,0,120,15,30.04,0.1,3,BKN,1/1/2019 06:16,BUR,JFK,616,0,0,1,0,1
JFK,1/1/2019 01:40,0,0,0,120,14,30.03,0.13,3,BKN,1/1/2019 06:18,SLC,JFK,618,0,0,0,1,0
JFK,1/1/2019 01:45,0,0,0,120,13,30.02,0.16,3,BKN,1/1/2019 06:25,SEA,JFK,625,0,0,0,1,0
JFK,1/1/2019 01:50,0,0,0,120,14,30.02,0.18,3,BKN,1/1/2019 06:29,LAS,JFK,629,0,0,0,1,0
JFK,1/1/2019 01:51,45,45,100,120,14,30.02,0.18,3,BKN,1/1/2019 06:45,PSE,JFK,645,0,0,0,1,0
JFK,1/1/2019 01:55,0,0,0,120,14,30.02,0.01,3,OVC,1/1/2019 06:49,BOS,JFK,649,0,0,0,1,0
JFK,1/1/2019 02:00,0,0,0,120,13,30.02,0.03,3,OVC,1/1/2019 06:53,ROC,JFK,653,1,0,0,0,3
JFK,1/1/2019 02:05,0,0,0,120,12,30.02,0.05,3,OVC,1/1/2019 06:55,HNL,JFK,655,0,0,0,1,0
JFK,1/1/2019 02:10,0,0,0,120,13,30.01,0.07,3,BKN,1/1/2019 06:56,BOS,JFK,656,0,0,0,1,0
JFK,1/1/2019 02:15,0,0,0,110,16,30.01,0.1,3,BKN,1/1/2019 07:03,SJC,JFK,703,0,0,0,1,0
JFK,1/1/2019 02:20,0,0,0,110,16,30.01,0.12,3,BKN,1/1/2019 07:03,BTV,JFK,703,0,0,0,1,0
JFK,1/1/2019 02:25,0,0,0,110,14,30,0.12,3,BKN,1/1/2019 07:04,ORH,JFK,704,0,0,0,1,0
JFK,1/1/2019 02:30,0,0,0,110,14,29.99,0.14,3,BKN,1/1/2019 07:05,BUF,JFK,705,1,0,0,0,3
JFK,1/1/2019 02:35,0,0,0,110,14,29.98,0.17,3,BKN,1/1/2019 07:05,PWM,JFK,705,0,0,0,1,0
JFK,1/1/2019 02:40,0,0,0,110,12,29.98,0.2,3,BKN,1/1/2019 07:13,LAX,JFK,713,0,0,0,1,0
JFK,1/1/2019 02:45,0,0,0,110,13,29.97,0.23,4,OVC,1/1/2019 07:16,ROC,JFK,716,0,0,0,1,0
JFK,1/1/2019 02:50,0,0,0,110,11,29.97,0.25,4,OVC,1/1/2019 07:22,IAD,JFK,722,0,0,0,1,0
JFK,1/1/2019 02:51,45,45,100,100,11,29.96,0.25,3,OVC,1/1/2019 07:22,SEA,JFK,722,0,0,0,1,0
JFK,1/1/2019 02:55,0,0,0,100,14,29.96,0.01,4,OVC,1/1/2019 07:22,SJU,JFK,722,0,0,0,1,0
JFK,1/1/2019 03:00,0,0,0,110,14,29.95,0.03,4,OVC,1/1/2019 07:26,SJC,JFK,726,0,0,0,1,0
JFK,1/1/2019 03:05,0,0,0,100,12,29.94,0.05,4,OVC,1/1/2019 07:34,LAS,JFK,734,1,0,0,0,3
JFK,1/1/2019 03:10,0,0,0,100,12,29.93,0.05,5,OVC,1/1/2019 07:41,JAX,JFK,741,0,0,0,1,0
JFK,1/1/2019 03:15,0,0,0,110,15,29.93,0.06,6,OVC,1/1/2019 07:43,SFO,JFK,743,0,0,0,1,0
JFK,1/1/2019 03:20,0,0,0,110,14,29.93,0.07,6,OVC,1/1/2019 07:44,RDU,JFK,744,0,0,0,1,0
